V,mA
-0.25588,-0.40238
-0.25485,-0.40079
-0.25387,-0.39915
-0.25282,-0.3976
-0.25187,-0.39603
-0.25089,-0.39442
-0.24992,-0.39286
-0.24888,-0.39124
-0.24789,-0.3896
-0.24686,-0.38802
-0.24585,-0.38641
-0.24487,-0.38481
-0.24388,-0.38319
-0.24285,-0.38159
-0.24189,-0.37995
-0.24086,-0.37831
-0.23987,-0.37672
-0.23888,-0.37508
-0.23786,-0.37343
-0.23684,-0.37184
-0.23584,-0.3702
-0.23485,-0.36856
-0.23389,-0.36692
-0.23285,-0.36527
-0.23187,-0.36363
-0.23083,-0.362
-0.22983,-0.36037
-0.22887,-0.35871
-0.22781,-0.35704
-0.22688,-0.35543
-0.2259,-0.35377
-0.22487,-0.35216
-0.22388,-0.35052
-0.22287,-0.34884
-0.2219,-0.34715
-0.22087,-0.34548
-0.21987,-0.34389
-0.21887,-0.34224
-0.21783,-0.34061
-0.21687,-0.33894
-0.21584,-0.33732
-0.21486,-0.3357
-0.21386,-0.33403
-0.21292,-0.33241
-0.21186,-0.33078
-0.21085,-0.32916
-0.20988,-0.32756
-0.20886,-0.32592
-0.20784,-0.32426
-0.20685,-0.32269
-0.20585,-0.32108
-0.20493,-0.31946
-0.20385,-0.31788
-0.20289,-0.31628
-0.20183,-0.31471
-0.20087,-0.31315
-0.19989,-0.31149
-0.19885,-0.31
-0.19788,-0.30839
-0.19688,-0.3068
-0.19588,-0.30524
-0.19486,-0.30364
-0.19387,-0.30211
-0.19285,-0.30056
-0.19187,-0.29902
-0.19087,-0.2975
-0.18984,-0.29594
-0.18885,-0.29443
-0.18787,-0.29293
-0.18688,-0.2914
-0.1859,-0.28994
-0.18488,-0.28838
-0.18386,-0.28689
-0.18292,-0.28544
-0.1819,-0.28393
-0.18086,-0.28251
-0.17985,-0.28105
-0.17891,-0.2796
-0.17791,-0.27812
-0.17686,-0.27665
-0.17586,-0.27524
-0.17491,-0.27381
-0.17386,-0.27235
-0.17291,-0.27098
-0.17189,-0.26959
-0.17088,-0.26815
-0.16988,-0.26677
-0.16888,-0.26538
-0.16787,-0.264
-0.16686,-0.26268
-0.16586,-0.26131
-0.16492,-0.25997
-0.16385,-0.25871
-0.16288,-0.25737
-0.16188,-0.2561
-0.16086,-0.25477
-0.15986,-0.25345
-0.15888,-0.2522
-0.15784,-0.25092
-0.15689,-0.24963
-0.15587,-0.2484
-0.15482,-0.24712
-0.15394,-0.24595
-0.15287,-0.24473
-0.1519,-0.24347
-0.15087,-0.24228
-0.14988,-0.24109
-0.14885,-0.23989
-0.14789,-0.23871
-0.14691,-0.23751
-0.14586,-0.23637
-0.14487,-0.23522
-0.14386,-0.23405
-0.1429,-0.23293
-0.14187,-0.23181
-0.14089,-0.23068
-0.13989,-0.22956
-0.13891,-0.22847
-0.13789,-0.22741
-0.1369,-0.22636
-0.13584,-0.22527
-0.13492,-0.22419
-0.13386,-0.22316
-0.13287,-0.22214
-0.13188,-0.22109
-0.13087,-0.22008
-0.12987,-0.21909
-0.12886,-0.21804
-0.12795,-0.21705
-0.12689,-0.21611
-0.12589,-0.2151
-0.1249,-0.21413
-0.12392,-0.21315
-0.1229,-0.21215
-0.12193,-0.21125
-0.12091,-0.2103
-0.11989,-0.20939
-0.11889,-0.20848
-0.11791,-0.20748
-0.11693,-0.20663
-0.1159,-0.2057
-0.11487,-0.20481
-0.11389,-0.20393
-0.1129,-0.20307
-0.11188,-0.20217
-0.11088,-0.20133
-0.10987,-0.20046
-0.10889,-0.19958
-0.10791,-0.1988
-0.10686,-0.19789
-0.10585,-0.19706
-0.10488,-0.19621
-0.1039,-0.19537
-0.10289,-0.19454
-0.10191,-0.19371
-0.10087,-0.19291
-0.0999,-0.19208
-0.09887,-0.19131
-0.09787,-0.19053
-0.09686,-0.1897
-0.09587,-0.1889
-0.09489,-0.18811
-0.09385,-0.18735
-0.09286,-0.18656
-0.09189,-0.1858
-0.09086,-0.18502
-0.08995,-0.1843
-0.08893,-0.18358
-0.08793,-0.18282
-0.08691,-0.18204
-0.08592,-0.18136
-0.08488,-0.18056
-0.08391,-0.17986
-0.08292,-0.1791
-0.0819,-0.17839
-0.08088,-0.17761
-0.07992,-0.17689
-0.07889,-0.17619
-0.07789,-0.17539
-0.07691,-0.17469
-0.0759,-0.17399
-0.07491,-0.17321
-0.0739,-0.17251
-0.07291,-0.17179
-0.07187,-0.17102
-0.07089,-0.17034
-0.06988,-0.16957
-0.0689,-0.16882
-0.06796,-0.16807
-0.06688,-0.16732
-0.06593,-0.16659
-0.06489,-0.1658
-0.06389,-0.16503
-0.06287,-0.16429
-0.06189,-0.16351
-0.06086,-0.16277
-0.05991,-0.162
-0.05888,-0.16117
-0.05789,-0.16041
-0.05692,-0.15964
-0.05588,-0.15882
-0.05489,-0.15804
-0.05388,-0.15717
-0.05291,-0.15638
-0.05188,-0.15554
-0.0509,-0.15469
-0.0499,-0.15388
-0.04889,-0.15301
-0.0479,-0.15216
-0.04691,-0.15129
-0.04589,-0.15038
-0.04491,-0.1495
-0.04388,-0.14858
-0.0429,-0.14766
-0.04191,-0.14675
-0.04094,-0.14575
-0.03994,-0.14483
-0.03891,-0.14385
-0.0379,-0.14284
-0.03686,-0.14179
-0.0359,-0.14079
-0.03487,-0.13978
-0.03392,-0.13871
-0.03287,-0.13762
-0.03188,-0.13656
-0.0309,-0.13543
-0.02987,-0.13423
-0.0289,-0.13312
-0.02789,-0.13197
-0.02687,-0.13068
-0.02588,-0.12959
-0.0249,-0.12843
-0.0239,-0.12714
-0.02293,-0.12593
-0.02191,-0.12473
-0.02091,-0.12341
-0.01991,-0.12218
-0.01889,-0.12085
-0.01789,-0.11959
-0.01692,-0.11824
-0.0159,-0.11692
-0.01494,-0.11567
-0.01391,-0.11431
-0.0129,-0.11296
-0.01192,-0.11164
-0.01089,-0.11026
-0.00989,-0.10895
-0.00891,-0.10764
-0.0079,-0.10623
-0.00691,-0.10495
-0.0059,-0.10357
-0.0049,-0.10221
-0.00391,-0.10091
-0.00279,-0.09924
-0.0018,-0.09803
-8.31E-04,-0.09676
1.55E-04,-0.09537
0.0012,-0.09416
0.00219,-0.09288
0.00323,-0.09161
0.00421,-0.0904
0.00517,-0.08917
0.00612,-0.08792
0.00719,-0.08674
0.00817,-0.08551
0.00919,-0.08436
0.01021,-0.08312
0.0112,-0.08195
0.01223,-0.0808
0.01318,-0.07957
0.01417,-0.07845
0.0152,-0.07731
